cut_id,spindle_speed_rpm,feed_rate_mm_min,depth_of_cut_mm,coolant,force_x,force_y,force_z,force_resultant,vibration_x,vibration_y,vibration_z,vibration_rms,ae_rms,flank_wear_um,tool_health_pct,rul_cuts,is_anomaly,anomaly_type
184,10392.6,1549.8,1.518,Flood,202.08,199.94,96.18,300.1,2.109,2.636,1.837,2.219,0.6088,118.42,39.3,121,0,NORMAL
185,10387.5,1552.0,1.498,Flood,178.67,198.98,106.4,287.82,2.318,2.477,1.809,2.219,0.5697,118.42,39.3,120,0,NORMAL
186,10371.7,1555.1,1.515,Flood,195.86,209.95,104.03,305.39,2.496,2.456,1.76,2.263,0.6082,118.42,39.3,119,0,NORMAL
187,10403.4,1553.8,1.529,Flood,200.51,180.28,96.32,286.33,2.443,2.485,1.537,2.199,0.5957,118.42,39.3,118,0,NORMAL
188,10425.7,1557.4,1.511,Flood,186.63,202.51,110.41,296.7,2.277,2.458,1.746,2.181,0.6043,118.42,39.3,117,0,NORMAL
189,10399.1,1566.1,1.507,Flood,203.76,189.99,109.98,299.52,2.309,2.398,1.793,2.183,0.5539,118.42,39.3,116,0,NORMAL
190,10372.2,1555.4,1.503,Flood,185.86,203.27,115.13,298.52,2.328,2.366,1.704,2.154,0.5842,118.42,39.3,115,0,NORMAL
191,10411.7,1551.6,1.51,Flood,192.03,203.76,102.68,298.22,2.298,2.392,1.688,2.149,0.5807,118.42,39.3,114,0,NORMAL
192,10375.6,1560.7,1.495,Flood,210.22,199.61,100.05,306.67,2.134,2.572,1.882,2.215,0.5468,118.42,39.3,113,0,NORMAL
193,10381.9,1548.6,1.496,Flood,191.31,207.66,106.61,301.8,2.469,2.407,1.747,2.232,0.6103,118.42,39.3,112,0,NORMAL
194,10396.4,1549.4,1.507,Flood,203.7,189.18,108.36,298.37,2.528,2.459,1.793,2.284,0.5625,118.42,39.3,111,0,NORMAL
195,10401.8,1552.6,1.493,Flood,183.91,210.36,113.91,301.75,2.195,2.553,1.822,2.21,0.568,118.42,39.3,110,0,NORMAL
196,10384.9,1553.9,1.495,Flood,217.11,194.92,116.99,314.36,2.54,2.461,1.671,2.259,0.5605,119.23,38.9,109,0,NORMAL
197,10395.8,1552.5,1.5,Flood,196.83,187.29,115.91,295.39,2.379,2.561,1.779,2.265,0.6037,119.23,38.9,108,0,NORMAL
198,10410.7,1554.9,1.517,Flood,200.23,198.85,110.75,303.15,2.538,2.322,1.88,2.264,0.5483,119.23,38.9,107,0,NORMAL
199,10412.8,1556.1,1.483,Flood,201.07,182.63,113.71,294.47,2.399,2.48,1.927,2.282,0.6027,119.4,38.8,106,0,NORMAL
200,10418.8,1559.3,1.511,Flood,204.71,203.77,105.79,307.6,2.41,2.504,1.767,2.251,0.6137,119.4,38.8,105,0,NORMAL
201,10428.6,1555.4,1.512,Flood,187.7,200.75,110.92,296.37,2.463,2.525,1.758,2.276,0.6054,120.82,38.0,104,0,NORMAL
202,10412.1,1552.8,1.512,Flood,200.86,214.62,103.63,311.69,2.33,2.348,1.808,2.177,0.6112,121.21,37.8,103,0,NORMAL
203,10396.7,1559.1,1.488,Flood,196.66,211.39,111.39,309.47,2.6,2.698,1.826,2.406,0.6178,123.01,36.9,102,0,NORMAL
204,10412.9,1551.7,1.475,Flood,187.97,193.13,111.58,291.69,2.323,2.473,1.93,2.254,0.5757,123.11,36.9,101,0,NORMAL
205,10407.0,1548.5,1.508,Flood,210.72,198.11,120.56,313.35,2.41,2.604,1.715,2.275,0.6356,123.11,36.9,100,0,NORMAL
206,10407.6,1559.8,1.503,Flood,199.34,210.35,109.83,309.91,2.521,2.568,1.78,2.318,0.5886,123.11,36.9,99,0,NORMAL
207,10402.7,1559.6,1.515,Flood,204.58,213.57,111.71,316.14,2.401,2.683,1.707,2.301,0.5994,123.36,36.7,98,0,NORMAL
208,10386.3,1551.8,1.489,Flood,204.05,216.95,112.52,318.38,2.556,2.813,1.717,2.408,0.5931,123.36,36.7,97,0,NORMAL
209,10384.6,1553.4,1.511,Flood,199.68,216.88,108.71,314.2,2.627,2.43,1.842,2.324,0.6141,123.36,36.7,96,0,NORMAL
210,10398.5,1551.3,1.516,Flood,225.57,214.59,110.8,330.46,2.73,2.667,1.975,2.481,0.6121,131.7,32.5,95,0,NORMAL
211,10402.2,1556.3,1.499,Flood,208.38,218.66,122.36,325.89,2.376,2.759,1.844,2.356,0.6276,131.7,32.5,94,0,NORMAL
212,10389.8,1561.9,1.506,Flood,195.54,227.08,109.82,319.16,2.623,2.616,1.972,2.423,0.5954,131.7,32.5,93,0,NORMAL
213,10406.4,1557.8,1.506,Flood,205.37,212.67,107.91,314.72,2.732,2.824,2.002,2.546,0.6557,131.7,32.5,92,0,NORMAL
214,10431.2,1559.1,1.488,Flood,213.03,218.81,118.96,327.74,2.45,2.831,2.077,2.472,0.6437,131.7,32.5,91,0,NORMAL
215,10373.8,1558.3,1.508,Flood,213.31,212.45,121.59,324.68,2.695,2.799,1.909,2.5,0.62,131.7,32.5,90,0,NORMAL
216,10408.7,1555.0,1.524,Flood,199.53,210.44,112.74,311.14,2.688,2.764,1.845,2.468,0.6159,131.7,32.5,89,0,NORMAL
217,10399.0,1559.3,1.5,Flood,216.68,215.83,112.82,325.98,2.463,2.889,1.812,2.428,0.6441,131.7,32.5,88,0,NORMAL
218,10406.8,1558.0,1.478,Flood,193.79,209.21,116.77,308.15,2.708,2.611,1.803,2.408,0.6106,131.7,32.5,87,0,NORMAL
219,10393.5,1560.8,1.49,Flood,218.5,214.22,111.32,325.62,2.641,2.745,2.015,2.488,0.6318,131.7,32.5,86,0,NORMAL
220,10397.8,1553.2,1.473,Flood,197.56,206.08,110.92,306.27,2.686,2.657,1.766,2.408,0.6581,131.7,32.5,85,0,NORMAL
221,10401.9,1548.0,1.519,Flood,206.85,213.69,120.06,320.72,2.492,2.836,2.012,2.47,0.6091,131.7,32.5,84,0,NORMAL
222,10395.5,1559.2,1.511,Flood,217.83,219.43,118.56,331.14,2.626,2.536,1.824,2.356,0.639,131.7,32.5,83,0,NORMAL
223,10377.2,1556.4,1.492,Flood,209.79,210.1,122.43,321.16,2.404,2.735,1.841,2.355,0.638,131.7,32.5,82,0,NORMAL
224,10396.5,1553.8,1.479,Flood,215.72,215.48,108.33,323.58,2.335,2.775,1.889,2.361,0.628,131.7,32.5,81,0,NORMAL
225,10378.8,1554.0,1.488,Flood,214.04,216.65,112.45,324.65,2.625,2.634,1.839,2.395,0.6182,131.7,32.5,80,0,NORMAL
226,10409.8,1565.2,1.49,Flood,219.71,219.47,116.76,331.77,2.74,2.669,1.986,2.488,0.6616,131.7,32.5,79,0,NORMAL
227,10372.0,1552.4,1.502,Flood,217.81,214.19,110.13,324.73,2.638,2.74,2.066,2.499,0.6166,131.7,32.5,78,0,NORMAL
228,10415.4,1551.6,1.501,Flood,204.92,225.17,118.75,326.79,2.6,2.843,1.843,2.466,0.5866,131.7,32.5,77,0,NORMAL
229,10406.4,1555.3,1.52,Flood,214.16,196.49,121.95,315.19,2.586,2.624,1.864,2.384,0.6483,131.7,32.5,76,0,NORMAL
230,10406.5,1559.7,1.49,Flood,195.8,241.84,112.01,330.71,2.495,2.643,1.888,2.365,0.6026,131.7,32.5,75,0,NORMAL
231,10367.5,1564.1,1.477,Flood,208.29,207.56,115.43,315.89,2.581,2.862,1.951,2.494,0.6503,131.7,32.5,74,0,NORMAL
232,10395.1,1557.6,1.483,Flood,215.74,219.03,123.22,331.21,2.659,2.708,1.889,2.447,0.6668,131.7,32.5,73,0,NORMAL
233,10417.3,1549.9,1.5,Flood,209.92,206.95,125.11,320.23,2.556,2.652,2.027,2.427,0.6495,131.7,32.5,72,0,NORMAL
234,10392.2,1562.9,1.489,Flood,212.57,221.19,119.32,329.17,2.698,2.818,2.006,2.533,0.6609,131.7,32.5,71,0,NORMAL
235,10383.8,1554.9,1.496,Flood,210.53,223.31,120.76,329.81,2.716,2.78,1.85,2.485,0.6983,136.45,30.0,70,0,NORMAL
236,10390.4,1551.6,1.493,Flood,221.94,214.96,112.8,328.92,2.73,2.947,2.004,2.592,0.6724,136.45,30.0,69,0,NORMAL
237,10399.0,1550.7,1.515,Flood,211.66,230.48,119.47,334.95,2.799,2.761,2.094,2.572,0.6568,136.45,30.0,68,0,NORMAL
238,10387.2,1558.3,1.491,Flood,208.38,219.34,120.56,325.68,2.629,2.816,1.912,2.483,0.6898,136.45,30.0,67,0,NORMAL
239,10418.5,1556.0,1.494,Flood,219.88,225.74,116.34,335.92,2.772,2.938,1.93,2.584,0.6932,136.45,30.0,66,0,NORMAL
240,10399.0,1556.4,1.511,Flood,200.4,212.56,114.23,313.67,2.646,2.809,1.909,2.486,0.6939,136.45,30.0,65,0,NORMAL
241,10391.7,1560.1,1.492,Flood,216.6,220.54,110.45,328.26,2.733,2.917,1.911,2.558,0.6378,136.45,30.0,64,0,NORMAL
242,10380.5,1551.8,1.506,Flood,203.48,238.85,107.94,331.82,2.615,2.827,1.807,2.456,0.6167,136.45,30.0,63,0,NORMAL
243,10407.3,1560.5,1.505,Flood,223.2,229.49,106.78,337.47,2.583,3.052,1.837,2.54,0.6371,136.45,30.0,62,0,NORMAL
244,10406.9,1552.9,1.502,Flood,210.12,223.59,120.69,329.71,2.703,3.006,1.964,2.595,0.6689,136.45,30.0,61,0,NORMAL
245,10388.1,1563.7,1.483,Flood,213.49,216.78,118.31,326.45,2.466,2.688,2.093,2.428,0.6557,136.45,30.0,60,0,NORMAL
246,10366.5,1557.4,1.518,Flood,215.85,221.43,114.84,329.86,2.657,4.291,1.902,3.114,1.0269,136.45,30.0,59,1,Cutting Flute Micro-Chipping
247,10406.2,1551.3,1.533,Flood,195.94,222.6,115.68,318.31,2.5,2.744,1.899,2.407,0.6665,136.45,30.0,58,0,NORMAL
248,10397.2,1546.9,1.5,Flood,206.81,224.86,118.66,327.74,2.786,2.855,2.11,2.605,0.6161,136.45,30.0,57,0,NORMAL
249,10405.0,1558.2,1.484,Flood,224.02,215.42,118.39,332.58,2.885,2.918,1.9,2.611,0.6672,140.2,28.1,56,0,NORMAL
250,10429.4,1553.5,1.5,Flood,222.52,231.13,111.92,339.8,2.656,2.794,1.85,2.469,0.6921,140.2,28.1,55,0,NORMAL
251,10399.6,1554.4,1.515,Flood,217.55,215.31,124.32,330.37,2.811,3.027,1.925,2.631,0.6783,140.2,28.1,54,0,NORMAL
252,10392.3,1558.1,1.491,Flood,203.68,239.79,120.97,337.07,2.867,2.933,1.94,2.62,0.6822,140.2,28.1,53,0,NORMAL
253,10382.8,1559.0,1.498,Flood,222.28,221.47,122.13,336.71,2.919,2.938,1.876,2.625,0.7132,143.07,26.6,52,0,NORMAL
254,10395.3,1559.9,1.505,Flood,223.36,231.08,125.28,344.94,2.837,2.921,2.022,2.625,0.6721,143.07,26.6,51,0,NORMAL
255,10402.4,1550.3,1.518,Flood,217.7,237.46,116.2,342.46,2.899,2.985,2.119,2.696,0.6578,143.07,26.6,50,0,NORMAL
256,10400.8,1560.7,1.512,Flood,227.7,226.14,127.35,345.26,2.733,3.014,1.917,2.597,0.7043,143.07,26.6,49,0,NORMAL
257,10425.9,1552.7,1.512,Flood,211.53,231.54,119.93,335.77,2.822,2.957,2.042,2.638,0.7044,143.12,26.6,48,0,NORMAL
258,10407.5,1546.0,1.494,Flood,213.01,241.4,125.59,345.57,2.756,2.659,2.069,2.513,0.6895,143.12,26.6,47,0,NORMAL
259,10398.0,1550.3,1.506,Flood,196.22,233.56,124.74,329.56,2.724,2.972,2.026,2.605,0.6719,143.12,26.6,46,0,NORMAL
260,10389.4,1555.9,1.489,Flood,225.76,232.6,115.37,344.06,2.831,2.828,2.06,2.599,0.6786,143.92,26.2,45,0,NORMAL
261,10404.0,1551.1,1.513,Flood,220.61,214.24,123.85,331.52,2.868,2.964,2.061,2.662,0.6471,143.92,26.2,44,0,NORMAL
262,10386.4,1554.6,1.517,Flood,203.64,221.0,122.88,324.67,2.966,2.832,1.97,2.627,0.7072,143.92,26.2,43,0,NORMAL
263,10402.7,1556.4,1.508,Flood,202.99,238.82,121.25,336.07,2.858,2.831,2.178,2.641,0.7068,143.92,26.2,42,0,NORMAL
264,10407.3,1554.3,1.494,Flood,210.52,234.53,120.56,337.43,2.904,3.123,2.155,2.759,0.6475,143.92,26.2,41,0,NORMAL
265,10396.8,1553.0,1.497,Flood,225.54,237.21,121.16,349.02,2.926,2.975,2.163,2.714,0.7056,145.06,25.6,40,0,NORMAL
266,10390.5,1550.0,1.527,Flood,216.24,236.44,126.1,344.33,3.17,2.967,2.148,2.797,0.6944,145.06,25.6,39,0,NORMAL
267,10367.2,1555.1,1.495,Flood,216.2,248.88,127.53,353.48,2.734,3.182,1.981,2.678,0.6749,150.72,22.7,38,0,NORMAL
268,10417.2,1546.7,1.516,Flood,214.49,234.92,124.52,341.61,2.868,3.088,2.206,2.747,0.6707,150.72,22.7,37,0,NORMAL
269,10406.0,1552.3,1.505,Flood,214.11,238.36,116.14,340.81,3.128,3.36,2.182,2.935,0.7106,150.72,22.7,36,0,NORMAL
270,10406.4,1551.3,1.495,Flood,206.61,228.02,127.07,332.9,2.909,3.099,1.984,2.708,0.6918,150.72,22.7,35,0,NORMAL
271,10376.6,1554.0,1.48,Flood,214.72,228.78,129.57,339.45,3.105,3.224,2.133,2.863,0.7548,153.31,21.4,34,0,NORMAL
272,10420.7,1554.1,1.503,Flood,215.88,225.49,138.24,341.41,3.026,3.29,2.178,2.871,0.7335,153.31,21.4,33,0,NORMAL
273,10393.0,1558.8,1.501,Flood,231.93,234.1,132.24,355.08,3.279,3.392,2.321,3.036,0.7262,154.84,20.6,32,0,NORMAL
274,10395.7,1561.3,1.527,Flood,224.72,256.04,115.88,359.84,2.893,3.134,2.236,2.781,0.7279,154.84,20.6,31,0,NORMAL
275,10384.0,1550.5,1.487,Flood,219.11,228.1,126.76,340.74,3.173,3.17,2.093,2.858,0.7485,154.84,20.6,30,0,NORMAL
276,10373.2,1563.0,1.534,Flood,246.08,239.84,136.49,369.74,3.245,3.365,2.329,3.015,0.7381,155.27,20.4,29,0,NORMAL
277,10417.4,1551.9,1.506,Flood,221.18,231.5,130.19,345.63,2.922,3.325,2.186,2.85,0.7312,155.76,20.1,28,0,NORMAL
278,10419.3,1555.7,1.506,Flood,236.74,237.73,128.57,359.29,3.138,3.354,2.159,2.93,0.6946,155.76,20.1,27,0,NORMAL
279,10397.5,1557.0,1.491,Flood,242.54,247.69,132.96,371.29,2.976,3.14,2.183,2.798,0.8032,158.34,18.8,26,0,NORMAL
280,10389.8,1564.8,1.505,Flood,215.41,239.86,124.58,345.63,3.096,3.461,2.066,2.934,0.6996,158.34,18.8,25,0,NORMAL
281,10394.3,1552.8,1.507,Flood,230.43,257.59,131.3,369.72,3.087,3.237,2.219,2.883,0.7236,159.73,18.1,24,0,NORMAL
282,10394.8,1547.8,1.514,Flood,227.49,264.87,128.63,372.1,2.882,3.402,2.307,2.898,0.6982,162.52,16.7,23,0,NORMAL
283,10382.0,1561.0,1.485,Flood,229.19,234.57,131.43,353.3,3.281,3.433,2.265,3.038,0.7622,165.71,15.0,22,0,NORMAL
284,10395.6,1551.7,1.521,Flood,239.0,248.66,136.1,370.78,3.247,3.353,2.338,3.014,0.7529,165.71,15.0,21,0,NORMAL
285,10402.3,1553.6,1.505,Flood,231.52,259.33,128.06,370.48,3.472,3.368,2.263,3.083,0.778,169.08,13.3,20,0,NORMAL
286,10415.3,1550.5,1.509,Flood,232.6,268.93,140.24,382.22,3.368,3.331,2.328,3.047,0.7159,169.08,13.3,19,0,NORMAL
287,10400.2,1553.6,1.497,Flood,235.38,254.71,130.83,370.67,3.569,3.536,2.369,3.207,0.7876,169.08,13.3,18,0,NORMAL
288,10376.4,1551.6,1.486,Flood,234.27,259.61,135.0,374.83,3.323,3.374,2.367,3.057,0.7424,169.92,12.9,17,0,NORMAL
289,10405.3,1557.7,1.501,Flood,227.88,250.03,126.12,361.04,3.308,3.429,2.213,3.033,0.7608,170.47,12.6,16,0,NORMAL
290,10396.2,1555.3,1.503,Flood,244.62,246.65,137.79,373.71,3.299,3.53,2.317,3.094,0.7883,170.47,12.6,15,0,NORMAL
291,10420.6,1552.3,1.479,Flood,248.37,395.98,142.81,488.75,3.309,3.311,2.534,3.073,1.2278,172.61,11.5,14,1,Thermal Breakdown & Edge Wear Collapse
292,10421.4,1559.0,1.512,Flood,242.52,246.78,132.11,370.36,3.1,3.691,2.341,3.094,0.7806,172.8,11.4,13,0,NORMAL
293,10422.0,1556.0,1.515,Flood,237.61,286.07,129.61,393.82,3.37,3.376,2.406,3.084,0.7971,174.41,10.6,12,0,NORMAL
294,10391.6,1547.6,1.489,Flood,238.03,276.73,139.3,390.69,3.23,3.727,2.448,3.179,0.8,178.69,8.4,11,0,NORMAL
295,10429.8,1558.7,1.485,Flood,238.73,277.43,146.22,394.13,3.551,3.758,2.609,3.343,0.7837,179.62,7.9,10,0,NORMAL
296,10405.3,1555.7,1.495,Flood,264.75,276.49,130.24,404.35,3.348,3.816,2.584,3.288,0.7886,179.62,7.9,9,0,NORMAL
297,10424.4,1560.6,1.5,Flood,255.55,273.59,133.96,397.62,3.463,3.838,2.587,3.337,0.8089,183.43,5.9,8,0,NORMAL
298,10392.5,1555.5,1.496,Flood,241.08,280.42,137.96,394.69,3.507,4.083,2.437,3.411,0.784,184.29,5.5,7,0,NORMAL
299,10395.5,1551.8,1.499,Flood,251.4,278.04,137.09,399.13,3.609,3.939,2.586,3.427,0.8382,186.67,4.3,6,0,NORMAL
300,10404.1,1554.2,1.503,Flood,248.03,286.49,137.82,403.22,3.664,4.065,2.623,3.503,0.825,188.15,3.5,5,0,NORMAL
301,10402.3,1558.2,1.479,Flood,256.07,281.21,130.79,402.19,3.793,3.869,2.509,3.447,0.8201,188.15,3.5,4,0,NORMAL
302,10418.8,1551.9,1.481,Flood,255.73,272.96,145.55,401.36,3.594,3.962,2.493,3.407,0.8485,188.15,3.5,3,0,NORMAL
303,10396.5,1553.2,1.459,Flood,264.16,279.84,146.63,411.81,3.821,4.236,2.788,3.666,0.83,193.26,0.9,2,0,NORMAL
304,10417.5,1554.1,1.514,Flood,248.37,279.86,135.84,398.07,4.109,4.06,2.618,3.661,0.8313,194.13,0.4,1,0,NORMAL
305,10411.0,1550.4,1.5,Flood,257.28,298.74,153.71,423.16,3.847,4.131,2.804,3.639,0.8271,195.19,0.0,0,0,NORMAL
306,10396.8,1552.0,1.516,Flood,242.73,286.38,155.71,406.42,3.812,4.255,2.768,3.665,0.8526,196.8,0.0,0,0,NORMAL
307,10409.8,1555.7,1.483,Flood,250.13,279.94,144.4,402.22,3.826,4.165,2.768,3.636,0.8638,201.1,0.0,0,0,NORMAL
308,10392.9,1559.8,1.5,Flood,268.34,300.72,154.94,431.79,3.896,4.009,2.772,3.603,0.8399,201.1,0.0,0,0,NORMAL
309,10435.3,1556.3,1.503,Flood,254.62,313.83,146.58,429.89,3.864,4.333,2.636,3.681,0.8594,203.61,0.0,0,0,NORMAL
310,10360.0,1554.8,1.492,Flood,255.82,307.58,150.9,427.58,4.01,4.422,2.786,3.803,0.8488,203.96,0.0,0,0,NORMAL
311,10410.1,1551.7,1.477,Flood,264.4,297.63,146.27,424.13,4.03,4.212,2.919,3.764,0.8535,205.96,0.0,0,0,NORMAL
312,10373.5,1559.4,1.526,Flood,273.52,293.89,165.05,434.08,3.843,4.533,2.906,3.819,0.8396,210.15,0.0,0,0,NORMAL
313,10396.6,1556.7,1.521,Flood,259.75,308.84,151.98,431.22,4.132,4.57,2.877,3.926,0.8817,211.69,0.0,0,0,NORMAL
314,10398.7,1552.2,1.494,Flood,240.58,310.89,155.2,422.63,4.301,4.29,3.041,3.922,0.8504,213.55,0.0,0,0,NORMAL
315,10422.6,1558.6,1.508,Flood,265.9,308.72,152.72,435.12,4.209,4.536,2.923,3.951,0.893,217.72,0.0,0,0,NORMAL
